
[ChatEntry]
	< emmm……有什么有趣的话题可以和我分享吗？
	> {735.ogg}假如一个人得到了一只空鸟笼，那么一段时间后，他一般会为了这只笼子再买一只鸟回来养，而不是把笼子丢掉——这在心理学上称为“鸟笼效应”。人们会在偶然获得的一件原本不需要的物品的基础上，自觉不自觉地继续添加更多自己不需要的东西。这时，人就成为了鸟笼的俘虏。
	> {712.ogg}鸭子喜欢并排睡觉。靠外面的鸭子睡觉时会睁着一只眼睛，随时警惕危险，而中间的鸭子则可以闭着双眼放松。
	> {750.ogg}蜗牛的舌头很长，甚至可以伸展到身体长度的三倍以上。 蜗牛的舌头上排列着密密麻麻的小尖齿，它的这种舌头被称为“齿舌”。吃东西时，用齿舌做前后伸缩运动，就可以切割和磨碎食物。 
	> {723.ogg}希腊神话中，塞壬是一种上半身是美女而下半身是鸟或者鱼的怪物，常常在海岸边歌唱，以迷惑过往的水手，使船只触礁沉没。因此，塞壬也被认为是诱惑和危险的象征。
	> {736.ogg}“他人即地狱”这句话出自萨特的剧本《禁闭》。三个被禁闭起来的鬼魂，等着下地狱，但在等待的过程中，三个鬼魂彼此之间不断地欺骗和互相折磨，最后他们忽然领悟到，不用等待地狱了，他们已经身在地狱之中。永远和他人在一起，这本身就是地狱。
	> {710.ogg}长颈鹿几乎每次只睡五分钟，一天只睡30分钟。作为一种生活在广阔平原上的大型动物，它们随时都面临着捕食者的威胁。因此，它们会进行短暂的间歇性小睡——睡觉的姿势有时候是坐下来，头靠在背上；但通常是站着随时准备奔跑。
	> {711.ogg}与人类不同的是，海豚必须有意识地思考才能呼吸，即使在睡觉时也是这样。因此，它们每次睡觉都只让一半的大脑休眠，而睡觉时总是睁着一只眼睛，这种睡眠方式被称为半球睡眠。
	> {732.ogg}英语中的Monday——周一，词源可以追溯到古英语中“月亮的日子”这个词。在其他一些语言中，周一的名称也和月亮有关，例如西班牙语和法语中的周一都是月亮“luna”的变体，日语周一“getsuyoubi”写作“月曜日”。
	> {722.ogg}希腊神话中，西西弗斯是一个受到神罚的人，被迫推着一块巨石爬上一座陡峭的山顶，但每当他快要到达山顶时，石头就会滑下来，他必须重新开始，永无止境地重复这个过程。“西西弗斯的石头”被用来比喻人类存在的无意义，或者是一种无法逃脱的命运。
	> {731.ogg}猫咪有时候会发出类似于鸟的叫声，被许多人类铲屎官戏称为“给小鸟发电报”。实际上，这是猫咪的一种狩猎本能。 它们模仿鸟的叫声，引诱鸟儿出现，从而进行诱捕。
	> {721.ogg}希腊数学家阿基米德在浴缸里泡澡时突然想到了测量物体密度的方法，于是发出了“Eureka”的喊声，意思是“我找到了”。于是，由一个意想不到的灵感、想法或洞察力引起的，使人们突然明白了之前没有理解的事情的瞬间，就被称为“尤里卡时刻”。
	> {743.ogg}一些人类生气时嘴唇会抽搐，这是进化遗留下来的。它是向入侵者露出牙齿的第一步——这也可以在狼、熊和黑猩猩身上看到。
	> {745.ogg}章鱼的血液是蓝色的，因为它含有一种名叫“血蓝蛋白”的携带氧气的色素。由于血蓝蛋白不如血红蛋白有效，所以章鱼进化出了两个附属心脏，也就是说章鱼一共有3个心脏。
	> {726.ogg}人类的大脑包含860亿个神经细胞，比银河系中的恒星数量还要多。它们由100万亿个连接点连接起来。来自人类大脑的信息，会以高达322公里/小时的速度沿着神经传递。
	> {702.ogg}世界上最深的海洋是马里亚纳海沟，它的最大深度是10994米，相当于把珠穆朗玛峰倒过来放进去还有余地。
	> {733.ogg}英语中的Tuesday——周二，意思是“提尔的日子”。提尔是古日耳曼神话中的一位战神，与罗马神话中的火神Mars类似。在日语中，周二“kayoubi”写作“火曜日”，也与Mars有关。
	> {725.ogg}人体内大约有0.2毫克的黄金，这些黄金主要存在于血液中。除此之外，人体血液中还含有铁、铬、锰、锌、铅和铜等等。
	> {738.ogg}老板被交警开罚单后心情很差，于是训斥了公司的员工；员工回家后臭骂了正在玩耍的孩子；孩子无处发泄，于是踢了家里的猫。这就是心理学上的“踢猫效应”，是指通过向弱于自己或者等级低于自己的对象发泄不良情绪，导致坏情绪链条式传递。
	> {734.ogg}中国古代科举考试中，乡试第一名被称为“解元”，会试第一名称为“会元”，殿试第一名称为“状元”或“殿元”。如果一名考生连续考中乡试、会试、殿试第一名，则会被称为“连中三元”或“三元及第”，是非常厉害的。
	> {709.ogg}对于海獭来说，水面就是它们午睡的最佳场所。仰面漂浮可以让它们远离陆地掠食者，而裹在海草中可以防止它们随着水流漂走。有时候，多达100只海獭会以这种方式一起睡觉，形成所谓的“海獭筏”。一些海獭甚至会和其他海獭手牵手地一起打盹。
	> {730.ogg}在古埃及，人们认为猫是守护神巴斯特的化身，她是家庭、生育和生命的守护神。因此，人们对猫充满敬意，认为它们能够保护家庭和家人的安全。
	> {715.ogg}蚊子振动翅膀的频率可以高达每秒300-600次，所以在蚊子叮咬你之前你会听到刺耳的嗡嗡声。
	> {737.ogg}公元前7世纪左右，古巴比伦首先创立了星期制，以日、月、火、水、木、金、土7位星神为每一天命名。星期制后来传播到古埃及，又由古埃及传到古罗马，公元3世纪以后，广泛地传播到欧洲各国。
	> {739.ogg}当一个人提心吊胆地过吊桥时，会不由自主地心跳加速。如果这个时候，碰巧遇见另一个人，那么他会错把这种情境引起的心跳加速理解为对方使自己心动，由此生出情愫。这被称为“吊桥效应”。
	> {719.ogg}大部分罗马神话中的神祇都对应着一位希腊神话中拥有同样特质的神。例如，罗马神话中的朱庇特相当于希腊神话中的宙斯，罗马神话中的维纳斯相当于希腊神话中的阿芙洛狄忒。
	> {706.ogg}大象是一种非常聪明的动物，它们具有同情心，并且能够表现出包括悲伤在内的多种情绪。 它们能够使用工具，甚至能在镜子中认出自己——自我认知表明它们具有非常高的意识水平。
	> {751.ogg}阴雨天气天空比较暗淡，这可以刺激大脑分泌褪黑素，从而让人更快地入睡。同时，雨声还可以产生一种类似于白噪音的效果，屏蔽其他噪音，使人更容易入眠。
